"age","how_happy_do_you_feel_right_now","how_long_have_you_lived_here","how_satisfied_are_you_with_somerville_as_a_place_to_live","how_satisfied_are_you_with_your_life_in_general","marital_status_2011","annual_household_income","gender_2011","how_similar_are_you_to_other_people_you_know_2011","seek_advice_or_decide_for_yourself_2011","effectiveness_of_the_local_police_2011_2013","beauty_or_physical_setting_2011","the_availability_of_affordable_housing_2011","race"
4.46892464013548,8,2.12751677852349,7.59062394031875,8,"Single, Never Married",7.09686559234992,"Female",6,5,7.38444361741719,3.21694109658802,2.96257062146893,"Mixed"
7,10,4,7.59062394031875,10,"Widowed",1,"Female",10,8,7.38444361741719,3.21694109658802,2.96257062146893,"Black/African American"
7,10,4,4,10,"Married",7.09686559234992,"Male",4,10,6,3,2,"White"
3,10,1,9,10,"Single, Never Married",5,"Male",8,7,8,4,2.96257062146893,"White"
7,10,4,10,10,"Married",1,"Male",10,10,10,4,4,"White"
3,8,1,9,9,"Single, Never Married",8,"Female",7,2,10,5,5,"White"
7,7,4,8,7,"Married",2,"Male",7,7,8,3,2,"White"
7,9,4,10,7,"Divorced",6,"Female",6,9,10,2,2.96257062146893,"White"
3,4,1,6,4,"Single, Never Married",3,"Male",8,6,6,4,2,"White"
3,8,1,9,8,"Married",6,"Male",7,7,8,4,2,"White"
7,3,4,8,4,"Single, Never Married",4,"Female",8,8,8,1,2,"White"
3,6,1,8,7,"Married",7,"Male",7,6,8,4,2,"White"
2,7,1,6,7,"Single, Never Married",9,"Female",7,4,6,2,2,"White"
5,6,2,8,6,"Married",7.09686559234992,"Female",7,7,6,3,2,"White"
4,8,2,6,8,"Married",7.09686559234992,"Male",7,7,8,3,3,"Mixed"
7,3,4,10,3,"Divorced",2,"Female",8,10,8,5,4,"White"
3,9,1,7,9,"Single, Never Married",5,"Female",6,8,8,4,4,"White"
7,10,4,9,10,"Single, Never Married",3,"Male",2,3,10,4,4,"White"
3,8,1,9,8,"Single, Never Married",7.09686559234992,"Male",9,9,6,4,3,"White"
5,10,2,9,10,"Married",10,"Male",8,8,8,4,4,"Mixed"
7,3,2,8,2,"Divorced",3,"Female",9,10,4,4,4,"White"
4,10,1,9,10,"Married",7.09686559234992,"Female",9,7,7.38444361741719,4,4,"White"
6,9,3,8,7,"Single, Never Married",3,"Male",4,5,7.38444361741719,3,3,"White"
7,10,4,10,10,"Divorced",4,"Male",10,10,10,5,5,"Mixed"
6,6,2,3,6,"Single, Never Married",1,"Female",7,6,4,3,3,"Asian/Pacific Islander"
4,8,3,8,8,"Married",7.09686559234992,"Female",8,3,6,4,2,"White"
4,8,2,9,5,"Married",3,"Female",8,9,8,4,2,"White"
5,9,3,9,7,"Single, Never Married",8,"Female",8,5,8,3,2,"White"
5,9,1,7,9,"Married",7.09686559234992,"Female",6,10,6,3.21694109658802,2,"White"
4,6,1,8,6,"Single, Never Married",4,"Female",8,3,6,3,3,"White"
3,8,1,8,8,"Single, Never Married",5,"Female",7,7,6,3,2,"White"
4,8,1,7,7,"Married",7.09686559234992,"Female",8,7,10,3,3,"White"
4,1,3,10,8,"Single, Never Married",3,"Female",7,6,8,3,2,"White"
3,8,2,9,8,"Single, Never Married",6,"Female",8,3,7.38444361741719,4,2,"White"
3,6,1,6,6,"Single, Never Married",6,"Male",6.72756036636137,8,7.38444361741719,2,3,"White"
4,8,2,7,7,"Married",7.09686559234992,"Female",3,5,8,4,2,"Mixed"
3,10,1,10,10,"Married",8,"Female",8,10,10,5,2.96257062146893,"White"
3,10,2,5,10,"Married",3,"Female",2,10,8,3,2,"Black/African American"
7,8,2,8,9,"Married",8,"Female",4,9,8,3,3,"White"
3,9,2,6,10,"Married",9,"Female",8,6,8,4,4,"White"
3,9,1,9,9,"Married",10,"Female",8,5,8,4,3,"White"
4.46892464013548,7,2.12751677852349,7.59062394031875,7,"Single, Never Married",7.09686559234992,"Female",4,9,7.38444361741719,3.21694109658802,2.96257062146893,"Mixed"
3,8,1,8,6,"Married",1,"Female",8,4,8,3,4,"White"
7,9,4,9,9,"Single, Never Married",6,"Male",7,9,8,4,3,"White"
6,9,2.12751677852349,7,9,"Married",7.09686559234992,"Female",7,8,6,3,3,"Mixed"
7,3,3,9,5,"Divorced",2,"Female",2,5,8,4,3,"White"
3,8,1,8,8,"Single, Never Married",3,"Female",8,9,8,3,4,"White"
7,10,4,7,10,"Divorced",4,"Female",9,9,8,10,3,"White"
3,5,4,5,5,"Married",7.09686559234992,"Female",5,5,2,3,1,"White"
4,5,2,5,4,"Single, Never Married",5,"Female",5,4,6,3,2,"White"
7,9,4,6,1,"Single, Never Married",7.09686559234992,"Male",9,9,8,4,2,"Native American"
4,7,1,9,7,"Single, Never Married",8,"Male",4,5,6,4,3,"White"
4,7,2,6,7,"Single, Never Married",6,"Male",4,9,6,2,2,"Black/African American"
1,6,1,6,6,"Single, Never Married",7.09686559234992,"Female",7,10,10,3,2,"White"
