"age","are_you_a_student","housing_status_in_somerville","children_age_18_or_younger_who_live_with_you","move_away_from_somerville_in_the_next_two_years","how_happy_do_you_feel_right_now","how_long_have_you_lived_here","how_proud_are_you_to_be_a_somerville_resident_2015","how_safe_do_you_feel_walking_in_your_community_at_night_2015","how_satisfied_are_you_with_somerville_as_a_place_to_live","how_satisfied_are_you_with_the_appearance_of_parks_and_squares_in_your_neighborhood","how_satisfied_are_you_with_the_beauty_or_physical_setting_of_your_neighborhood","how_satisfied_are_you_with_your_life_in_general","how_satisfied_are_you_with_your_neighborhood","availability_of_information_about_city_services_2015","availability_of_social_community_events","cost_of_housing","maintenance_of_streets_and_sidewalks_2015","how_would_you_rate_the_following_your_trust_in_the_local_police_2015","ward","annual_household_income","sex","race"
3,"No","Rent","No","No",7,3,9,8,7,4,3,5,5,6,6,4,2,4,"4",6,"Male","Mixed"
2,"Yes","Rent","No","Yes",8,2,7,8,7,8,7,8,8,6,8,6,4,8,"7",3,"Female","White"
6,"No","Rent","No","No",5,7,5,7,6,7,7,9,7,6,6,4,8,10,"3",3,"Male","White"
5,"No","Own","No","No",5,6,9,9,9,8,8,8,9,10,10,6,6,6,"3",4.77070063694268,"Female","White"
2,"No","Own","Yes","No",7,3,7,9,8,7,7,9,7,10,10,8,6,6,"5",7,"Male","White"
2,"Yes","Rent","No","No",7,2,8,7,9,7,8,8,9,10,10,6,8,6,"7",2,"Female","White"
5,"No","Own","No","No",10,7,10,10,10,10,10,10,10,10,10,10,10,10,"3",7,"Male","White"
5,"No","Own","No","No",7,6,7,4,8,4,2,8,4,6,6,2,2,4,"1",5,"Female","White"
2,"No","Rent","No","No",8,3,9,9,9,10,9,8,9,10,10,8,8,8,"3",4.77070063694268,"Male","White"
3,"No","Rent","No","No",7,3,5,9,7,9,8,8,7,8,8,2,8,8,"6",7,"Male","White"
6,"No","Own","No","No",10,7,4,1,2,1,1,10,1,8,10,8,10,4,"3",5,"Female","White"
2,"No","Rent","No","Yes",7,3,7,8,8,7,6,8,9,6,6,4,4,6,"6",7,"Female","White"
6,"No","Own","No","No",7,7,8,7,7,7,7,7,8,8,8,8,8,8,"7",6,"Female","White"
7,"No","Own","No","No",10,7,10,9,10,9,9,10,10,10,10,4,10,10,"3",3,"Female","White"
2,"No","Rent","No","Yes",7,1,7,10,8,8,9,7,9,8,6,4,8,10,"2",4,"Male","White"
3,"No","Own","No","No",10,5,6,8,5,8,8,10,8,8,6,2,8,6,"6",3,"Male","White"
2,"Yes","Rent","No","Yes",8,2,7,9,9,8,8,10,9,6,8,4,8,6,"5",4,"Female","White"
5,"No","Own","No","No",8,7,9,9,8,9,8,8,7,10,10,6,8,10,"3",4,"Male","White"
2,"Yes","Own","No","No",8,2,10,10,10,8,10,9,10,10,10,2,8,6,"7",4.77070063694268,"Female","White"
3,"No","Own","Yes","No",7,6,7,7,7,8,7,7,10,10,10,2,8,8,"5",4,"Female","White"
3,"No","Own","Yes","No",8,5,9,9,8,7,7,8,8,8,8,4,8,8,"3",7,"Male","White"
2,"No","Rent","No","No",9,1,9,9,9,9,8,8,10,8,8,4,8,6,"5",5,"Male","Mixed"
2,"No","Own","No","No",9,4,9,7,10,8,8,10,9,10,8,8,8,10,"7",7,"Female","White"
5,"No","Rent","No","No",6,7,10,6,8,9,8,6,9,8,8,6,10,10,"1",3,"Male","White"
4,"No","Rent","No","Yes",7,3,7,9,7,8,8,6,7,6,6,4,6,6,"7",4,"Male","Mixed"
3,"No","Rent","Yes","Yes",8,5,10,10,10,10,10,6,10,10,8,2,4,10,"3",3,"Female","White"
2,"No","Own","Yes","No",10,3,9,9,9,7,6,9,9,8,8,6,6,6,"5",4,"Female","White"
2,"No","Rent","No","No",2,5,5,6,6,6,6,5,6,6,6,8,4,6,"3",1,"Male","Black/African American"
2,"No","Rent","No","No",9,1,10,6,10,10,10,10,10,6,10,6,10,10,"6",6,"Female","White"
2,"No","Own","No","No",9,4,10,9,10,8,7,8,8,6,8,6,6,6,"3",7,"Female","White"
4,"No","Rent","No","Yes",8,4,8,7,9,7,7,7,8,8,8,6,6,8,"2",6,"Female","White"
2,"No","Rent","No","Yes",9,1,6,10,9,9,9,7,8,10,6,6,10,6,"3",4,"Male","White"
2,"No","Own","No","Yes",7,3,7,8,7,8,8,7,7,8,8,6,6,6,"7",6,"Female","Mixed"
2,"No","Own","No","No",10,2,10,8,7,8,8,10,6,8,8,6,8,6,"5",6,"Male","Mixed"
4,"Yes","Own","No","No",9,5,10,7,8,8,7,8,9,8,10,2,8,8,"6",7,"Female","White"
4,"No","Own","No","No",8,6,8,9,9,7,7,8,8,6,10,4,8,8,"3",7,"Male","White"
3,"No","Rent","No","No",10,4,10,10,10,9,8,8,8,10,10,6,8,8,"4",5,"Male","White"
